2,2,0,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,?,0,1000000,0,0,0,0,0,0,0,0,0,0,64,2,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,?,0,2000000,0,0,0,0,0,0,0,0,0,0,64,2,0,0,0,6047,-1,0,32,0,0,0,0,0,0,0,0
30952,2,2,80,202,40,40,40,0,101,101,101,0,9110.881365,129.23236,10317.33333,17865.81541,30947,2,2,2,0,2,2,3,3,0,3,3,?,40,64.61618,64.61618,40,101,64.4,33.411076,1116.3,1,80.5,40,101,64,2,80,2,202,-1,-1,1,32,0,0,0,0,0,0,0,0
31507,2,2,68,278,34,34,34,0,139,139,139,0,10981.686609,126.955915,10502.333333,18188.842881,31505,1,1,1,0,1,1,1,1,0,1,1,64,64,63.477957,63.477957,34,139,76,57.510869,3307.5,1,95,34,139,64,2,68,2,278,-1,-1,1,32,0,0,0,0,0,0,0,0
48688,2,2,66,98,33,33,33,0,49,49,49,0,3368.386461,82.155767,16229.33333,28065.00521,48636,4,48,48,0,48,48,4,4,0,4,4,?,80,41.077884,41.077884,33,49,39.4,8.763561,76.8,1,49.25,33,49,64,2,66,2,98,-1,-1,1,32,0,0,0,0,0,0,0,0
4,2,0,12,0,6,6,6,0,0,0,0,0,3000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,?,0,500000,0,6,6,6,0,0,0,9,6,0,40,2,12,0,0,133,-1,1,20,0,0,0,0,0,0,0,0
180,2,2,60,264,30,30,30,0,132,132,132,0,1800000,22222.22222,60,97.862148,173,3,3,3,0,3,3,4,4,0,4,4,?,40,11111.11111,11111.11111,30,132,70.8,55.867701,3121.2,1,88.5,30,132,40,2,60,2,264,-1,-1,1,20,0,0,0,0,0,0,0,0
54,1,1,6,6,6,6,6,0,6,6,6,0,222222.2222,37037.03704,54,0,54,54,0,0,0,0,0,0,0,0,0,0,?,20,18518.51852,18518.51852,6,6,6,0,0,1,9,6,6,20,1,6,1,6,115,256,0,20,0,0,0,0,0,0,0,0
178,3,1,18,6,6,6,6,0,6,6,6,0,134831.4607,22471.91011,59.333333,99.324384,174,0,4,2,2.828427,4,0,0,0,0,0,0,?,20,16853.93258,5617.977528,6,6,6,0,0,0,7.5,6,6,60,3,18,1,6,0,0,2,20,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,?,0,500000,0,0,0,0,0,0,0,0,0,0,64,2,0,0,0,274,-1,0,32,0,0,0,0,0,0,0,0
40878,1,1,48,96,48,48,48,0,96,96,96,0,3522.677235,48.926073,40878,0,40878,40878,0,0,0,0,0,0,0,0,0,0,?,32,24.463036,24.463036,48,96,64,27.712813,768,1,96,48,96,20,1,48,1,96,-1,-1,0,20,0,0,0,0,0,0,0,0
195,2,2,80,112,40,40,40,0,56,56,56,0,984615.3846,20512.82051,65,71.042241,143,4,4,4,0,4,4,48,48,0,48,48,?,40,10256.41026,10256.41026,40,56,46.4,8.763561,76.8,1,58,40,56,40,2,80,2,112,-1,-1,1,20,0,0,0,0,0,0,0,0
100640675,7,7,720,11595,360,0,102.857143,175.662013,7240,0,1656.428571,2565.850857,122.366031,0.139109,7741590385,27800000,100000000,0,101000000,16800000,40900000,100000000,2,356363,59393.83333,96368.51601,223988,0,?,232,0.069554,0.069554,0,7240,821,1868.085689,3489744143,1,879.642857,102.857143,1656.428571,232,7,720,7,11595,274,235,2,32,6,0,6,6,100000000,0,100000000,100000000
230,3,1,43,6,31,6,14.333333,14.433757,6,6,6,0,213043.4783,17391.30435,76.666667,63.955714,118,3,230,115,158.391919,227,3,0,0,0,0,0,?,20,13043.47826,4347.826087,6,31,11,11.18034,125,0,13.75,14.333333,6,60,3,43,1,6,298,0,2,20,0,0,0,0,0,0,0,0
